Id,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Unused
197,1519862400000,10325.64,11060.41,10240.00,10920.00,25092.55,1519948799999,268172535.38,230428,12785.40,136788817.23,
198,1519948800000,10923.36,11200.00,10770.00,11039.00,23910.71,1520035199999,262936307.01,211691,11893.33,130864918.82,
199,1520035200000,11038.99,11544.00,11015.01,11464.48,21287.15,1520121599999,241749497.90,190444,10842.68,123142920.22,
200,1520121600000,11464.47,11565.00,11050.02,11515.00,17295.92,1520207999999,194849579.13,168359,8197.40,92437014.46,
201,1520208000000,11515.00,11710.00,11415.01,11454.00,15144.23,1520294399999,174866951.40,164318,7668.82,88588986.34,
202,1520294400000,11455.00,11455.00,10555.48,10716.48,29515.57,1520380799999,323842216.65,250306,13482.30,147874120.62,
203,1520380800000,10716.48,10899.00,9389.31,9910.00,50647.67,1520467199999,514808033.49,396721,24022.45,244164771.36,
204,1520467200000,9910.00,10099.00,9060.00,9271.64,41109.47,1520553599999,394641280.64,336514,20257.46,194608716.94,
205,1520553600000,9267.07,9410.00,8329.00,9227.00,64112.29,1520639999999,567082901.13,462712,31166.41,275735446.01,
206,1520640000000,9230.00,9490.00,8667.07,8770.22,37180.01,1520726399999,341210248.41,288066,17639.83,161991786.13,
207,1520726400000,8770.22,9740.00,8450.00,9533.57,44325.97,1520812799999,403491260.93,333367,21150.21,192897625.61,
208,1520812800000,9533.57,9888.88,8780.00,9131.34,42230.78,1520899199999,395562731.87,336642,19369.70,181454623.86,
209,1520899200000,9131.34,9474.00,8823.00,9150.00,40191.41,1520985599999,367353984.71,342734,19856.46,181534440.78,
210,1520985600000,9151.92,9333.78,7900.28,8170.00,49708.09,1521071999999,426058009.76,399127,22883.33,196344166.25,
211,1521072000000,8184.01,8430.00,7650.00,8240.98,52291.02,1521158399999,422130717.47,400529,26414.16,213358245.67,
212,1521158400000,8240.98,8611.64,7900.00,8260.00,38815.41,1521244799999,322355002.17,255807,20049.43,166563494.40,
213,1521244800000,8260.00,8348.62,7721.99,7824.80,33110.21,1521331199999,265973111.62,292041,15677.26,125987772.43,
214,1521331200000,7824.01,8317.40,7322.00,8189.99,59488.23,1521417599999,458311733.52,423336,28216.51,217530802.62,
215,1521417600000,8189.00,8705.23,8088.40,8600.00,55297.08,1521503999999,462654338.98,360414,27263.32,228208487.55,
216,1521504000000,8595.01,9050.00,8280.00,8909.98,44865.11,1521590399999,387879393.47,298261,22849.04,197422831.30,
217,1521590400000,8909.96,9177.01,8750.60,8885.00,39972.41,1521676799999,358157473.36,293696,19047.49,170758402.40,
218,1521676800000,8884.82,9100.00,8465.10,8722.90,40617.56,1521763199999,354804129.34,276449,19567.56,171050710.21,
219,1521763200000,8720.00,8909.00,8269.00,8898.03,39991.01,1521849599999,340755592.54,278571,20106.79,171487640.93,
220,1521849600000,8898.04,8999.95,8491.00,8546.86,35466.61,1521935999999,313254829.91,270300,17302.11,152967779.86,
221,1521936000000,8531.25,8669.85,8365.77,8470.15,29001.77,1522022399999,247023172.31,215660,14379.26,122528263.98,
222,1522022400000,8470.14,8514.89,7831.00,8134.23,44033.60,1522108799999,358429758.87,310462,20957.26,170723432.32,
223,1522108800000,8134.22,8215.94,7730.00,7795.51,37427.65,1522195199999,297609656.44,266540,18462.38,146860645.04,
224,1522195200000,7795.51,8109.00,7728.00,7949.30,26401.33,1522281599999,209186093.18,183620,13685.42,108484584.61,
225,1522281600000,7949.30,7975.00,6941.11,7090.14,54620.92,1522367999999,405591158.63,359537,24584.81,182402558.21,
226,1522368000000,7090.16,7292.43,6600.10,6840.23,65306.03,1522454399999,450352009.17,400057,31944.39,220453635.61,
227,1522454400000,6840.24,7223.36,6777.00,6923.91,36868.54,1522540799999,258341534.47,240293,19086.03,133763988.35,
228,1522540800000,6922.00,7049.98,6430.00,6813.01,44071.43,1522627199999,297470498.82,260942,21899.30,147951173.82,
229,1522627200000,6813.01,7125.00,6765.00,7056.00,32123.56,1522713599999,224322159.41,206780,16365.68,114292405.86,
